Psi_0,Psi_1,Psi_2,Psi_3,Psi_4,Psi_5,Psi_6,Psi_7,Psi_8,Psi_9,Psi_10,Psi_11,Psi_12,Psi_13,Psi_14,Psi_15,Psi_16,Psi_17,Psi_18,Psi_19,Psi_20,Psi_21,Psi_22,Psi_23,Psi_24,Psi_25,Psi_26,Psi_27
4.422899105837299e-12,-7.283658789828294e-11,-8.215529450927427e-10,7.31584892378585e-09,5.444627381358138e-08,3.4899051785239723e-07,-1.9615437800340285e-06,-9.77742916475294e-06,-4.352889034496598e-05,-0.0001738036201502491,0.0006235378713381719,0.002009541918334616,-0.005804831153934605,0.014961865425167704,-0.03415831015197417,0.06829574015068351,-0.11748684644198695,-0.16886716291916173,-0.1919010565997875,-0.15054577113011197,-0.03897479608329549,0.08413113966605563,-0.12000852442295283,0.03298033767869117,0.07388784464685572,-0.06427270276659926,0.027442888955199512,0.04690300588780926
1.6248054610871345e-12,-2.7927424211186303e-11,-3.2887203213742955e-10,3.058545261110161e-09,2.378206870774589e-08,1.5934029260062119e-07,-9.36640457826942e-07,-4.885806895432953e-06,-2.2779918558693412e-05,-9.53433207686869e-05,0.0003589503353750933,0.0012156612221378624,-0.0036967605712782364,0.010054258128391695,-0.02429858127795657,0.051664063034076446,-0.09518120566202058,-0.14827654997771056,-0.18707338516452443,-0.17413565589172003,-0.08638485131881658,0.04303759985556399,-0.1201761380214617,0.07196174579693312,0.044801384756788014,-0.0796577094565451,0.0005739932303119375,0.050178835977718134
5.930343018534702e-13,-1.0634750567544328e-11,-1.3070748683547986e-10,1.2691159353004885e-09,1.0306353557967535e-08,7.214905586258433e-08,-4.433408421298516e-07,-2.418843309626655e-06,-1.1803838507471634e-05,-5.175035679252876e-05,0.00020428633466213367,0.0007263287396838474,-0.0023223884312490286,0.006654850910138751,-0.016991495596012696,0.0383153548784624,-0.0752950950432616,-0.12629662342712708,-0.17460231721233008,-0.18570624873372862,-0.12572323016141396,-0.003183765168603983,-0.10398897932043304,0.10008224243930426,0.008245182718634371,-0.08111773135422204,-0.02646180459783674,0.04409605138234746
2.1525674151643183e-13,-4.02419605094549e-12,-5.160342390608831e-11,5.2294625694896e-10,4.433856006357182e-09,3.241843029710508e-08,-2.0814895298730338e-07,-1.187250503101503e-06,-6.060659820742429e-06,-2.7815576245774564e-05,0.00011504716355927577,0.00042904773230584563,-0.0014409199950118261,0.00434456402705608,-0.011699499528089848,0.027916146839968247,-0.05832693484592356,-0.10480456125734576,-0.15728908071497472,-0.1868694690780254,-0.15488740768676404,-0.04917410631716599,-0.07496798527425295,0.11433215220610923,-0.029645705333185286,-0.06941322607366306,-0.049074667959191534,0.030338314371255164
7.763797713768362e-14,-1.5135668107716485e-12,-2.0247092452537588e-11,2.1409154934529728e-10,1.894564194533376e-09,1.446285496483712e-08,-9.699366705902164e-08,-5.781232583174128e-07,-3.0856387370653816e-06,-1.48164637415127e-05,6.4166375296526e-05,0.00025080405985701765,-0.000883882725009996,0.0028009371015378336,-0.007943607474043279,0.020017778844891195,-0.04434885918361292,-0.08501895595872959,-0.13755254889591778,-0.1798426461290038,-0.17337433475868985,-0.09075041794304393,-0.03757612904225271,0.1140871550963322,-0.06345888727335308,-0.047258740760098804,-0.06401629700400961,0.011648434462474594
2.7901332043068886e-14,-5.660742984409143e-13,-7.898649956476054e-12,8.712265362609034e-11,8.044556788705926e-10,6.409789256453641e-09,-4.4883529953938854e-08,-2.794479990322793e-07,-1.5587553308535095e-06,-7.826831715218713e-06,3.547041285026385e-05,0.00014520719343928828,-0.0005365533014978185,0.001785185997225632,-0.005325239698299049,0.014149139170193678,-0.033164315916064606,-0.06760747905360383,-0.11728681172407755,-0.16699614089661555,-0.18187343900232794,-0.12512815898497529,0.0036231512923583027,0.10064938205874985,-0.08916489995798915,-0.018500385714266813,-0.06964551687040774,-0.008827799251216059
1.001522964222988e-14,-2.1062912055693591e-13,-3.0652197193040416e-12,3.5256513159467516e-11,3.395931850469601e-10,2.823396199839869e-09,-2.063617403490606e-08,-1.3416014950304425e-07,-7.817645411121738e-07,-4.102900729176917e-06,1.944716272098241e-05,8.333005570552856e-05,-0.0003226035527275867,0.0011259316467845623,-0.0035287877088647137,0.009871642358025177,-0.024432894023241614,-0.05282099863975217,-0.09783976475368131,-0.15054073898532946,-0.1818315783469756,-0.1508750606896754,0.044573295759387004,0.07662285840728483,-0.10438407035614992,0.012680964197720239,-0.06586165312917414,-0.028106766100500977
3.67666579200059e-15,-7.804624927083081e-14,-1.1834517650314564e-12,1.4193935650836367e-11,1.4258170021427184e-10,1.236613019368507e-09,-9.43143017653988e-09,-6.400435135141236e-08,-3.8947236096754826e-07,-2.1355805663591487e-06,1.058172217038501e-05,4.743308126194133e-05,-0.00019226649261930496,0.000703351873565191,-0.0023137596287587745,0.006806372402246532,-0.017759658635148796,-0.04062413670166224,-0.08006691656809482,-0.1323468965906752,-0.1750658280412283,-0.1676975461313425,0.08207994388430233,0.04527777421180918,-0.1083368646374782,0.04241344557570193,-0.05381386061292487,-0.04376905626742027
1.3140010438922879e-15,-2.893694346828849e-14,-4.548104517597058e-13,5.6869286195100155e-12,5.956464679794965e-11,5.387795145893175e-10,-4.28671373569769e-09,-3.035734294452609e-08,-1.92840927021556e-07,-1.1043249352381116e-06,5.717714953570324e-06,2.6798289848559613e-05,-0.00011366474850662822,0.0004355242500462705,-0.0015024958492339444,0.004642712687633837,-0.012752923907129964,-0.030806198649653393,-0.06442246336099296,-0.11387007448678849,-0.1634620185680427,-0.17615022884116804,0.11394564508679611,0.010005068094883357,-0.1015835136743596,0.06756754910825183,-0.03549911640868941,-0.05417921115226619
5.078077305013178e-16,-1.0371747580217854e-14,-1.7444733188362184e-13,2.2685266510750576e-12,2.4768609076497163e-11,2.3359974717361403e-10,-1.938421328302478e-09,-1.4321081424935625e-08,-9.493931686833574e-08,-5.676115368749606e-07,3.0696568842420328e-06,1.5036101621246943e-05,-6.669879487868423e-05,0.00026751357849609677,-0.0009670909253368794,0.003135961257413519,-0.009057180582834095,-0.023066520626689225,-0.05106042592754018,-0.09615080863653869,-0.1487684327760402,-0.17733645064773176,0.13893936775145233,-0.026088189739461913,-0.0856572460386522,0.08597641846902128,-0.013343378752871213,-0.058541470353689284
1.773272454793071e-16,-3.940285707454835e-15,-6.644781463868956e-14,9.013042743165377e-13,1.0254737686202378e-11,1.0082619201847949e-10,-8.723965135095548e-10,-6.722348480566095e-09,-4.649479006510296e-08,-2.90121160613715e-07,1.6382288934790928e-06,8.383027188261851e-06,-3.887209961843518e-05,0.00016310197926278593,-0.0006174510942858095,0.002099338288382839,-0.006368261174850758,-0.017074609696989058,-0.0399289602727913,-0.07986022493748166,-0.13247609118979625,-0.17264301894751713,0.15666113173871235,-0.06043218629743978,-0.0626762157360815,0.09647554881962911,0.010168055359118692,-0.05683058549591247
1.2420521590766375e-16,-1.612553808201474e-15,-2.51188548180683e-14,3.565143339690491e-13,4.228643092082472e-12,4.333698136285748e-11,-3.9090789954080604e-10,-3.140954120057637e-09,-2.2659301171394713e-08,-1.4752522874024274e-07,8.695122544087461e-07,4.646432506501619e-06,-2.2512392955620284e-05,9.876729628769918e-05,-0.0003913010436715396,0.0013939266653962266,-0.004436924916776424,-0.012508747511278938,-0.030849233473938132,-0.06536752063399758,-0.11576810427713514,-0.16353068624893707,0.16735511625676824,-0.09111238212266261,-0.03499294065612368,0.09881096288190004,0.03277434182327595,-0.04964338565197862
2.8001094391066066e-16,-4.840337586422797e-16,-9.533128594307802e-15,1.405218821146114e-13,1.7373700617974845e-12,1.8555096819736463e-11,-1.7445064809549016e-10,-1.461327589039042e-09,-1.0993408678483839e-08,-7.46590407419403e-08,4.5917306433617006e-07,2.561472175726838e-06,-1.2962386163813571e-05,5.943543452547008e-05,-0.00024629623380148215,0.0009186363473876129,-0.0030656640776016006,-0.009077921135736675,-0.02357606843662728,-0.052812781232193656,-0.09951814195427522,-0.1513858420592958,0.17171199409578106,-0.11688159323460068,-0.00491426619102869,0.0934675136402497,0.05262506000200059,-0.03801357838042336
-5.723701750825601e-17,-1.9058119232194462e-16,-3.6172130861613166e-15,5.534607291484515e-14,7.114646867946641e-13,7.915774438845606e-12,-7.756029161110451e-11,-6.77201227036397e-10,-5.311404478183878e-09,-3.761708115789518e-08,2.413489586013462e-07,1.4050540102509322e-06,-7.423793827368404e-06,3.5560951814693744e-05,-0.00015405795621363714,0.0006012643015391187,-0.002102136150121203,-0.0065318713934794,-0.017841130361642372,-0.0421747782396515,-0.08431964181231348,-0.13742862225306246,0.17068751477593552,-0.13709941498971626,0.025496273533381915,0.08146261290140976,0.06837399071367475,-0.02322360489168678
-3.620001171444528e-17,-9.174458439996154e-17,-1.2463958417534538e-15,2.1546959014196945e-14,2.9044020988554436e-13,3.365943876841092e-12,-3.436326848440098e-11,-3.126807223279714e-10,-2.556312243103834e-09,-1.8876419495117755e-08,1.2631016796639794e-07,7.671800120958107e-07,-4.230836285735788e-06,2.116390540543519e-05,-9.580982192814022e-05,0.00039106771927325883,-0.001431438120238875,-0.004663340903418213,-0.013381258769761232,-0.03332836842588554,-0.07053090489622536,-0.12266729992527035,0.16535219398479264,-0.15162976094736463,0.05453674745001087,0.06413998606425582,0.07919673051729192,-0.006636775505441327
3.781881478519852e-17,6.634513650714952e-17,-6.547401008657209e-16,8.353367754678701e-15,1.1815712208007223e-13,1.4271203748854281e-12,-1.517568175149613e-11,-1.438857479158974e-10,-1.2259477843897966e-09,-9.436698825941337e-09,6.584130684413533e-08,4.1711576351944153e-07,-2.4002297078387144e-06,1.253415014159048e-05,-5.9270184629885985e-05,0.00025288758176005303,-0.0009685329009073669,-0.0033056789894018693,-0.009955189947524184,-0.026089629727635084,-0.05832529302523513,-0.10788708532546093,0.15677758817291468,-0.16072145027190185,0.08091770419467213,0.042986400427746194,0.08475254744714955,0.0104371991084617
